LIMIT,K,MEAN_ERROR,STD_ERROR,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
0,1,x,x,x,x,x,x,x,x,x,x,x
0,2,x,x,x,x,x,x,x,x,x,x,x
0,3,x,x,x,x,x,x,x,x,x,x,x
0,4,x,x,x,x,x,x,x,x,x,x,x
0,5,x,x,x,x,x,x,x,x,x,x,x
0,6,x,x,x,x,x,x,x,x,x,x,x
0,7,x,x,x,x,x,x,x,x,x,x,x
0,8,x,x,x,x,x,x,x,x,x,x,x
0,9,x,x,x,x,x,x,x,x,x,x,x
0,10,x,x,x,x,x,x,x,x,x,x,x
0,11,x,x,x,x,x,x,x,x,x,x,x
0,12,x,x,x,x,x,x,x,x,x,x,x
0,13,x,x,x,x,x,x,x,x,x,x,x
0,14,x,x,x,x,x,x,x,x,x,x,x
0,15,x,x,x,x,x,x,x,x,x,x,x
0,16,x,x,x,x,x,x,x,x,x,x,x
0,17,x,x,x,x,x,x,x,x,x,x,x
0,18,x,x,x,x,x,x,x,x,x,x,x
0,19,x,x,x,x,x,x,x,x,x,x,x
0,20,x,x,x,x,x,x,x,x,x,x,x
0,21,x,x,x,x,x,x,x,x,x,x,x
0,22,x,x,x,x,x,x,x,x,x,x,x
0,23,x,x,x,x,x,x,x,x,x,x,x
0,24,x,x,x,x,x,x,x,x,x,x,x
0,25,x,x,x,x,x,x,x,x,x,x,x
0,26,x,x,x,x,x,x,x,x,x,x,x
0,27,x,x,x,x,x,x,x,x,x,x,x
0,28,x,x,x,x,x,x,x,x,x,x,x
0,29,x,x,x,x,x,x,x,x,x,x,x
1,1,x,x,x,x,x,x,x,x,x,x,x
1,2,x,x,x,x,x,x,x,x,x,x,x
1,3,x,x,x,x,x,x,x,x,x,x,x
1,4,x,x,x,x,x,x,x,x,x,x,x
1,5,x,x,x,x,x,x,x,x,x,x,x
1,6,x,x,x,x,x,x,x,x,x,x,x
1,7,x,x,x,x,x,x,x,x,x,x,x
1,8,x,x,x,x,x,x,x,x,x,x,x
1,9,x,x,x,x,x,x,x,x,x,x,x
1,10,x,x,x,x,x,x,x,x,x,x,x
1,11,x,x,x,x,x,x,x,x,x,x,x
1,12,x,x,x,x,x,x,x,x,x,x,x
1,13,x,x,x,x,x,x,x,x,x,x,x
1,14,x,x,x,x,x,x,x,x,x,x,x
1,15,x,x,x,x,x,x,x,x,x,x,x
1,16,x,x,x,x,x,x,x,x,x,x,x
1,17,x,x,x,x,x,x,x,x,x,x,x
1,18,x,x,x,x,x,x,x,x,x,x,x
1,19,x,x,x,x,x,x,x,x,x,x,x
1,20,x,x,x,x,x,x,x,x,x,x,x
1,21,x,x,x,x,x,x,x,x,x,x,x
1,22,x,x,x,x,x,x,x,x,x,x,x
1,23,x,x,x,x,x,x,x,x,x,x,x
1,24,x,x,x,x,x,x,x,x,x,x,x
1,25,x,x,x,x,x,x,x,x,x,x,x
1,26,x,x,x,x,x,x,x,x,x,x,x
1,27,x,x,x,x,x,x,x,x,x,x,x
1,28,x,x,x,x,x,x,x,x,x,x,x
1,29,x,x,x,x,x,x,x,x,x,x,x
2,1,x,x,x,x,x,x,x,x,x,x,x
2,2,x,x,x,x,x,x,x,x,x,x,x
2,3,x,x,x,x,x,x,x,x,x,x,x
2,4,x,x,x,x,x,x,x,x,x,x,x
2,5,x,x,x,x,x,x,x,x,x,x,x
2,6,x,x,x,x,x,x,x,x,x,x,x
2,7,x,x,x,x,x,x,x,x,x,x,x
2,8,x,x,x,x,x,x,x,x,x,x,x
2,9,x,x,x,x,x,x,x,x,x,x,x
2,10,x,x,x,x,x,x,x,x,x,x,x
2,11,x,x,x,x,x,x,x,x,x,x,x
2,12,x,x,x,x,x,x,x,x,x,x,x
2,13,x,x,x,x,x,x,x,x,x,x,x
2,14,x,x,x,x,x,x,x,x,x,x,x
2,15,x,x,x,x,x,x,x,x,x,x,x
2,16,x,x,x,x,x,x,x,x,x,x,x
2,17,x,x,x,x,x,x,x,x,x,x,x
2,18,x,x,x,x,x,x,x,x,x,x,x
2,19,x,x,x,x,x,x,x,x,x,x,x
2,20,x,x,x,x,x,x,x,x,x,x,x
2,21,x,x,x,x,x,x,x,x,x,x,x
2,22,x,x,x,x,x,x,x,x,x,x,x
2,23,x,x,x,x,x,x,x,x,x,x,x
2,24,x,x,x,x,x,x,x,x,x,x,x
2,25,x,x,x,x,x,x,x,x,x,x,x
2,26,x,x,x,x,x,x,x,x,x,x,x
2,27,x,x,x,x,x,x,x,x,x,x,x
2,28,x,x,x,x,x,x,x,x,x,x,x
2,29,x,x,x,x,x,x,x,x,x,x,x
3,1,x,x,x,x,x,x,x,x,x,x,x
3,2,x,x,x,x,x,x,x,x,x,x,x
3,3,x,x,x,x,x,x,x,x,x,x,x
3,4,x,x,x,x,x,x,x,x,x,x,x
3,5,x,x,x,x,x,x,x,x,x,x,x
3,6,x,x,x,x,x,x,x,x,x,x,x
3,7,x,x,x,x,x,x,x,x,x,x,x
3,8,x,x,x,x,x,x,x,x,x,x,x
