LIMIT;K;MEAN_ERROR;STD_ERROR;MAX_ERROR;MIN_ERROR;MEDIAN_ERROR;25th_PERCENTILE;75th_PERCENTILE;90th_PERCENTILE;95th_PERCENTILE;99th_PERCENTILE;99.99th_PERCENTILE
20;1;x;x;x;x;x;x;x;x;x;x;x
19;1;x;x;x;x;x;x;x;x;x;x;x
18;1;x;x;x;x;x;x;x;x;x;x;x
17;1;x;x;x;x;x;x;x;x;x;x;x
16;1;x;x;x;x;x;x;x;x;x;x;x
15;1;x;x;x;x;x;x;x;x;x;x;x
14;1;x;x;x;x;x;x;x;x;x;x;x
13;1;x;x;x;x;x;x;x;x;x;x;x
12;1;x;x;x;x;x;x;x;x;x;x;x
11;1;x;x;x;x;x;x;x;x;x;x;x
10;1;x;x;x;x;x;x;x;x;x;x;x
9;1;15.537023359816482;16.276556630372102;69.46666293962731;0.0;11.099441754779939;3.640349515792604;20.17978918711666;35.65155258696701;48.60324888626415;69.31001531935085;69.46509646342454
8;1;15.157315475888932;16.20757967392652;69.46666293962731;0.0;10.771418351321538;3.443292239266301;19.990128416475113;35.225285714168805;48.49644688973043;69.3054748086182;69.46505105831721
7;1;14.960268430402254;16.182792967315365;69.46666293962731;0.0;10.462256694055721;3.3348036424075294;19.895298031154336;35.07757894827752;48.44304589146355;69.30320455325187;69.46502835576355
6;1;14.960268430402254;16.182792967315365;69.46666293962731;0.0;10.462256694055721;3.3348036424075294;19.895298031154336;35.07757894827752;48.44304589146355;69.30320455325187;69.46502835576355
5;1;15.022167551146923;16.081776369831104;69.46666293962731;0.0;10.771418351321538;3.37096650802712;19.806674364742683;34.929872182386234;48.38964489319669;69.30093429788555;69.4650056532099
4;1;14.82891561617662;16.060474601554088;69.46666293962731;0.0;10.462256694055721;3.3348036424075294;19.71805069833103;34.782165416494955;48.33624389492982;69.29866404251922;69.46498295065624
3;1;14.82891561617662;16.060474601554088;69.46666293962731;0.0;10.462256694055721;3.3348036424075294;19.71805069833103;34.782165416494955;48.33624389492982;69.29866404251922;69.46498295065624
20;2;x;x;x;x;x;x;x;x;x;x;x
19;2;x;x;x;x;x;x;x;x;x;x;x
18;2;x;x;x;x;x;x;x;x;x;x;x
17;2;x;x;x;x;x;x;x;x;x;x;x
16;2;x;x;x;x;x;x;x;x;x;x;x
15;2;x;x;x;x;x;x;x;x;x;x;x
14;2;x;x;x;x;x;x;x;x;x;x;x
13;2;x;x;x;x;x;x;x;x;x;x;x
12;2;x;x;x;x;x;x;x;x;x;x;x
11;2;x;x;x;x;x;x;x;x;x;x;x
10;2;x;x;x;x;x;x;x;x;x;x;x
9;2;15.411040698044863;16.40974991425279;70.19084364904134;0.0;10.036061069324155;4.025854847916984;19.28565783076556;36.366125763810565;49.63603217526898;69.5345113392692;70.18428032594362
8;2;15.034832332499857;16.334800738258686;70.19084364904134;0.0;9.689456768086302;3.6133923677537956;19.024996182243704;36.178220143734556;49.341451398916206;69.51548721434827;70.1840900846944
7;2;14.940994354529675;16.24206172674849;70.19084364904134;0.0;9.51060827906681;3.658038122043097;18.894665357982774;36.16582827031307;49.194161010739776;69.50597515188781;70.1839949640698
6;2;14.940994354529675;16.24206172674849;70.19084364904134;0.0;9.51060827906681;3.658038122043097;18.894665357982774;36.16582827031307;49.194161010739776;69.50597515188781;70.1839949640698
5;2;15.00049014339062;16.139951802737777;70.19084364904134;0.0;9.689456768086302;3.7457613537083745;19.23142838717545;36.15343639689158;49.04687062256339;69.49646308942734;70.1838998434452
4;2;14.807527240523735;16.117695350083316;70.19084364904134;0.0;9.51060827906681;3.5687466134644943;19.119174044111226;36.14104452347009;48.899580234387;69.48695102696688;70.1838047228206
3;2;14.807527240523735;16.117695350083316;70.19084364904134;0.0;9.51060827906681;3.5687466134644943;19.119174044111226;36.14104452347009;48.899580234387;69.48695102696688;70.1838047228206
20;3;x;x;x;x;x;x;x;x;x;x;x
19;3;x;x;x;x;x;x;x;x;x;x;x
