LIMIT,K,MEAN_ERROR,STD_ERROR,FAILRATE,MAX_ERROR,MIN_ERROR,MEDIAN_ERROR,25th_PERCENTILE,75th_PERCENTILE,90th_PERCENTILE,95th_PERCENTILE,99th_PERCENTILE,99.99th_PERCENTILE
15,1,x,x,x,x,x,x,x,x,x,x,x,x
15,2,x,x,x,x,x,x,x,x,x,x,x,x
15,3,x,x,x,x,x,x,x,x,x,x,x,x
15,4,x,x,x,x,x,x,x,x,x,x,x,x
15,5,x,x,x,x,x,x,x,x,x,x,x,x
15,6,x,x,x,x,x,x,x,x,x,x,x,x
15,7,x,x,x,x,x,x,x,x,x,x,x,x
15,8,x,x,x,x,x,x,x,x,x,x,x,x
15,9,x,x,x,x,x,x,x,x,x,x,x,x
15,10,x,x,x,x,x,x,x,x,x,x,x,x
15,11,x,x,x,x,x,x,x,x,x,x,x,x
15,12,x,x,x,x,x,x,x,x,x,x,x,x
15,13,x,x,x,x,x,x,x,x,x,x,x,x
15,14,x,x,x,x,x,x,x,x,x,x,x,x
15,15,x,x,x,x,x,x,x,x,x,x,x,x
14,1,x,x,x,x,x,x,x,x,x,x,x,x
14,2,x,x,x,x,x,x,x,x,x,x,x,x
14,3,x,x,x,x,x,x,x,x,x,x,x,x
14,4,x,x,x,x,x,x,x,x,x,x,x,x
14,5,x,x,x,x,x,x,x,x,x,x,x,x
14,6,x,x,x,x,x,x,x,x,x,x,x,x
14,7,x,x,x,x,x,x,x,x,x,x,x,x
14,8,x,x,x,x,x,x,x,x,x,x,x,x
14,9,x,x,x,x,x,x,x,x,x,x,x,x
14,10,x,x,x,x,x,x,x,x,x,x,x,x
14,11,x,x,x,x,x,x,x,x,x,x,x,x
14,12,x,x,x,x,x,x,x,x,x,x,x,x
14,13,x,x,x,x,x,x,x,x,x,x,x,x
14,14,x,x,x,x,x,x,x,x,x,x,x,x
14,15,x,x,x,x,x,x,x,x,x,x,x,x
13,1,x,x,x,x,x,x,x,x,x,x,x,x
13,2,x,x,x,x,x,x,x,x,x,x,x,x
13,3,x,x,x,x,x,x,x,x,x,x,x,x
13,4,x,x,x,x,x,x,x,x,x,x,x,x
13,5,x,x,x,x,x,x,x,x,x,x,x,x
13,6,x,x,x,x,x,x,x,x,x,x,x,x
13,7,x,x,x,x,x,x,x,x,x,x,x,x
13,8,x,x,x,x,x,x,x,x,x,x,x,x
13,9,x,x,x,x,x,x,x,x,x,x,x,x
13,10,x,x,x,x,x,x,x,x,x,x,x,x
13,11,x,x,x,x,x,x,x,x,x,x,x,x
13,12,x,x,x,x,x,x,x,x,x,x,x,x
13,13,x,x,x,x,x,x,x,x,x,x,x,x
13,14,x,x,x,x,x,x,x,x,x,x,x,x
13,15,x,x,x,x,x,x,x,x,x,x,x,x
12,1,x,x,x,x,x,x,x,x,x,x,x,x
12,2,x,x,x,x,x,x,x,x,x,x,x,x
12,3,x,x,x,x,x,x,x,x,x,x,x,x
12,4,x,x,x,x,x,x,x,x,x,x,x,x
12,5,x,x,x,x,x,x,x,x,x,x,x,x
12,6,x,x,x,x,x,x,x,x,x,x,x,x
12,7,x,x,x,x,x,x,x,x,x,x,x,x
12,8,x,x,x,x,x,x,x,x,x,x,x,x
12,9,x,x,x,x,x,x,x,x,x,x,x,x
12,10,x,x,x,x,x,x,x,x,x,x,x,x
12,11,x,x,x,x,x,x,x,x,x,x,x,x
12,12,x,x,x,x,x,x,x,x,x,x,x,x
12,13,x,x,x,x,x,x,x,x,x,x,x,x
12,14,x,x,x,x,x,x,x,x,x,x,x,x
12,15,x,x,x,x,x,x,x,x,x,x,x,x
11,1,x,x,x,x,x,x,x,x,x,x,x,x
11,2,x,x,x,x,x,x,x,x,x,x,x,x
11,3,x,x,x,x,x,x,x,x,x,x,x,x
11,4,x,x,x,x,x,x,x,x,x,x,x,x
11,5,x,x,x,x,x,x,x,x,x,x,x,x
11,6,x,x,x,x,x,x,x,x,x,x,x,x
11,7,x,x,x,x,x,x,x,x,x,x,x,x
11,8,x,x,x,x,x,x,x,x,x,x,x,x
11,9,x,x,x,x,x,x,x,x,x,x,x,x
11,10,x,x,x,x,x,x,x,x,x,x,x,x
11,11,x,x,x,x,x,x,x,x,x,x,x,x
11,12,x,x,x,x,x,x,x,x,x,x,x,x
11,13,x,x,x,x,x,x,x,x,x,x,x,x
11,14,x,x,x,x,x,x,x,x,x,x,x,x
11,15,x,x,x,x,x,x,x,x,x,x,x,x
10,1,x,x,x,x,x,x,x,x,x,x,x,x
10,2,x,x,x,x,x,x,x,x,x,x,x,x
10,3,x,x,x,x,x,x,x,x,x,x,x,x
10,4,x,x,x,x,x,x,x,x,x,x,x,x
10,5,x,x,x,x,x,x,x,x,x,x,x,x
10,6,x,x,x,x,x,x,x,x,x,x,x,x
10,7,x,x,x,x,x,x,x,x,x,x,x,x
10,8,x,x,x,x,x,x,x,x,x,x,x,x
10,9,x,x,x,x,x,x,x,x,x,x,x,x
10,10,x,x,x,x,x,x,x,x,x,x,x,x
10,11,x,x,x,x,x,x,x,x,x,x,x,x
10,12,x,x,x,x,x,x,x,x,x,x,x,x
10,13,x,x,x,x,x,x,x,x,x,x,x,x
10,14,x,x,x,x,x,x,x,x,x,x,x,x
10,15,x,x,x,x,x,x,x,x,x,x,x,x
9,1,x,x,x,x,x,x,x,x,x,x,x,x
9,2,x,x,x,x,x,x,x,x,x,x,x,x
9,3,x,x,x,x,x,x,x,x,x,x,x,x
9,4,x,x,x,x,x,x,x,x,x,x,x,x
9,5,x,x,x,x,x,x,x,x,x,x,x,x
9,6,x,x,x,x,x,x,x,x,x,x,x,x
9,7,x,x,x,x,x,x,x,x,x,x,x,x
9,8,x,x,x,x,x,x,x,x,x,x,x,x
9,9,x,x,x,x,x,x,x,x,x,x,x,x
9,10,x,x,x,x,x,x,x,x,x,x,x,x
9,11,x,x,x,x,x,x,x,x,x,x,x,x
9,12,x,x,x,x,x,x,x,x,x,x,x,x
9,13,x,x,x,x,x,x,x,x,x,x,x,x
9,14,x,x,x,x,x,x,x,x,x,x,x,x
9,15,x,x,x,x,x,x,x,x,x,x,x,x
8,1,14.898037537248726,16.953102909080112,0.06480648064806481,85.25322048549128,0.0,8.797590668662135,3.3325700767274284,20.2205844697378,36.01189099561911,57.782861800758425,73.8694320286069,85.2157621499673
8,2,14.10969832849976,15.915798185495543,0.06570657065706571,81.30232993527633,0.0,8.051563526126785,3.729890420450016,18.4902632515796,35.68964522249633,54.17446089201378,70.68586846405495,81.24952687273887
8,3,13.91187599420572,15.217205603801577,0.0702070207020702,82.65555100065353,0.0,8.321007424298857,4.041695363905207,17.603196135637027,33.95696168923132,47.91235849764393,69.46666294002637,82.51589858670658
8,4,13.776676105577609,14.756703664338872,0.0702070207020702,80.7931393611451,0.0,8.393104759892733,4.170678331484588,17.868038686429916,32.949850283667146,47.984903709948846,67.81480206946122,80.59278843761801
8,5,13.70092962954645,14.443071003998455,0.0711071107110711,81.02395546697053,0.0,8.860640841288777,4.195697010762249,17.777566725911115,33.66991377927251,46.213990507393476,67.84762989548082,80.80000154142459
8,6,13.710470098839066,14.357465318763074,0.07200720072007201,81.17843752430974,0.0,8.713207920357613,4.193211183925831,17.719794000637776,33.40336223167204,44.54982389845044,66.7460073312746,80.93878916696016
8,7,13.62274640293995,14.1607559625024,0.0747074707470747,82.3313442493442,2.7939677238464355e-09,8.947735202382177,4.108612338958029,17.374418010366554,33.50845556649425,44.48079118584576,65.26194071901011,81.99021938031609
8,8,13.605154153989698,14.042166322370354,0.0747074707470747,83.5306442680773,2.7939677238464355e-09,8.885181950262599,4.161830611951209,17.302444689487253,32.37759808486296,44.899471488299184,66.3034568086213,83.07855157162288
8,9,13.671850343662035,13.96934071122649,0.0747074707470747,79.2211334832073,2.7939677238464355e-09,9.123250045615379,4.186847185881976,17.405542875503656,32.310704956751856,45.973947388258566,64.97848479586591,78.95452471761196
8,10,13.640050481723241,13.71312773965219,0.0747074707470747,79.2952845540193,5.587935447692871e-09,9.190935962379115,4.2901335356875006,17.63663259823956,32.05806484547253,43.09003646506569,63.39433693840202,78.9980596308198
8,11,13.66088419381167,13.549452957542103,0.07560756075607561,79.35602142477775,5.587935447692871e-09,9.31249204086455,4.4082855274915325,17.531906336363697,31.815630283890865,42.03940891655313,63.32980561909991,79.11915774817433
8,12,13.744315205613576,13.535246835129769,0.07650765076507651,79.40668199601754,5.587935447692871e-09,9.301255113877819,4.532256456239019,17.55731965462815,32.3518370020157,42.2413987460761,64.04112695289768,78.99960976606984
8,13,13.76312186908531,13.485128230055407,0.0783078307830783,79.44958159558456,5.587935447692871e-09,9.177379492141194,4.4614109744671,17.649606911281296,32.17613503902953,42.09023359039956,63.74813440090639,79.04789489015648
8,14,13.774708931191423,13.3816907993039,0.07920792079207921,79.48637669042127,5.587935447692871e-09,9.387247366552247,4.573745703333809,17.8234846067621,32.190254643359474,42.01877047105294,63.57339913135919,79.10571477690979
8,15,13.765780123161024,13.284801820394105,0.07920792079207921,79.59671494975872,4.6566128730773926e-09,9.439007247946394,4.592529571292916,18.128905265300446,32.31118062107299,42.051379834548854,62.67512712207826,78.92200453470305
7,1,14.809738555684289,16.882847260464608,0.0369036903690369,85.25322048549128,0.0,8.803170814944455,3.326435186241915,20.01621007648277,35.850628915489125,57.65438224710655,74.32750758348645,85.2146434520856
7,2,14.010408302410648,15.876134873062,0.0369036903690369,81.70412235415559,0.0,8.051563526126785,3.732742010490128,18.427227328487124,35.5119620799336,53.35005668105974,71.4171193658994,81.66117074457739
7,3,13.79525605186947,15.135695875710143,0.0369036903690369,82.65555100065353,0.0,8.206522253896864,4.067427873149269,17.372575421766186,33.40631679590238,47.71163324784879,70.02224377009294,82.51089166876471
7,4,13.665707428738742,14.70330073361581,0.0369036903690369,80.7931393611451,0.0,8.332912564997656,4.178647637605224,17.52303019761242,32.365471831577736,47.55567397230296,68.37749389019147,80.58560531342184
7,5,13.598867287240322,14.395540136141907,0.0369036903690369,81.02395546697053,0.0,8.834635615664808,4.209965134922934,17.508693026258047,32.97563960428623,45.74911660502453,68.43578853292927,80.79174717753453
7,6,13.610677631263979,14.282027070543004,0.037803780378037805,81.17843752430974,0.0,8.619397177908747,4.203754392322285,17.452000243359677,33.19003714365303,44.43939241043143,68.2022788614292,80.92994777125223
7,7,13.527275837248007,14.073323866594587,0.037803780378037805,82.3313442493442,2.7939677238464355e-09,8.911320288176915,4.119455809831066,17.209271999119828,32.63826639420445,44.42182532539503,66.07717444866134,81.97660095808656
