FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAILED_DUE_TO_ATTACK,POSITIONING_NO_FAILED_DUE_TO_ATTACK,POSITIONING_MEAN_ERROR_DUE_TO_ATTACK
ValidationData_1.csv,168,943,28,0,6.362146137506093
ValidationData_2.csv,249,862,55,0,7.219549468119089
ValidationData_3.csv,329,782,92,0,8.49251519241711
ValidationData_4.csv,383,728,130,0,8.86109383816724
ValidationData_5.csv,425,686,184,0,8.684699928750963
ValidationData_6.csv,493,618,245,0,8.816111270479912
ValidationData_7.csv,571,540,324,0,9.728742685193994
ValidationData_8.csv,616,495,405,0,9.973690769076892
ValidationData_9.csv,696,415,498,0,11.604940095080307
ValidationData_10.csv,751,360,599,0,12.440380459873213
