FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAILED_DUE_TO_ATTACK,POSITIONING_NO_FAILED_DUE_TO_ATTACK,POSITIONING_MEAN_ERROR_DUE_TO_ATTACK
ValidationData_1.csv,176,935,0,5,6.796216808501728
ValidationData_2.csv,320,791,0,14,8.562361520643302
ValidationData_3.csv,386,725,0,20,9.712831989454342
ValidationData_4.csv,466,645,0,26,9.87929074268006
ValidationData_5.csv,486,625,0,33,11.632756542266764
ValidationData_6.csv,544,567,0,30,12.519839092428668
ValidationData_7.csv,576,535,0,32,12.732517277582906
ValidationData_8.csv,586,525,0,33,14.420954199943557
ValidationData_9.csv,618,493,0,37,13.780264562500614
ValidationData_10.csv,650,461,0,36,15.301382076597543
