FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAIL,NORMAL_POSITIONING_FAIL,MEAN_ERROR_NORMAL_RSS,MEAN_ERROR_ACTUAL_POSITION,TOTAL_OF_ATTACK
ValidationData_1.csv,81,1030,6,9,8.34745852503634,15.657737202835367,1111
ValidationData_2.csv,129,982,6,9,8.871472644630833,16.471847501611844,1111
ValidationData_3.csv,164,947,7,9,10.09531836408365,17.820414381031974,1111
ValidationData_4.csv,167,944,6,9,11.355426227163296,18.785642947916482,1111
ValidationData_5.csv,193,918,4,9,13.797599532018822,20.75439382024754,1111
ValidationData_6.csv,243,868,4,9,15.838581303015504,23.198732155084834,1111
ValidationData_7.csv,249,862,1,9,20.279121303113428,26.726128200913347,1111
ValidationData_8.csv,278,833,0,9,28.511936854560876,34.49646707891716,1111
ValidationData_9.csv,284,827,0,9,32.56967025720413,39.057663095636045,1111
ValidationData_10.csv,331,780,0,9,35.20201212312045,40.526112234755836,1111
