FILE,ROW,ESTIMATED POSITION,REAL POSITION
ValidationData_1.csv,0,[-7.50609829e+03  4.86486229e+06  2.00000000e+00],[-7.51591680e+03  4.86488966e+06  1.00000000e+00]
ValidationData_1.csv,1,[-7.36103685e+03  4.86482974e+06  3.81818182e+00],[-7.38386722e+03  4.86483974e+06  4.00000000e+00]
ValidationData_1.csv,2,[-7.36663210e+03  4.86484588e+06  4.00000000e+00],[-7.37430208e+03  4.86484653e+06  4.00000000e+00]
ValidationData_1.csv,3,[-7.35687608e+03  4.86483636e+06  4.00000000e+00],[-7.36582488e+03  4.86484283e+06  4.00000000e+00]
ValidationData_1.csv,4,[-7.64309642e+03  4.86492207e+06  2.00000000e+00],[-7.6414993e+03  4.8649224e+06  2.0000000e+00]
ValidationData_1.csv,5,[0 0 0],[-7.33880721e+03  4.86482547e+06  2.00000000e+00]
ValidationData_1.csv,6,[0 0 0],[-7.37935168e+03  4.86484920e+06  3.00000000e+00]
ValidationData_1.csv,7,[-7.34677511e+03  4.86476723e+06  2.90909091e+00],[-7.34055878e+03  4.86475892e+06  3.00000000e+00]
ValidationData_1.csv,8,[0 0 0],[-7.35753125e+03  4.86476585e+06  2.00000000e+00]
ValidationData_1.csv,9,[  -7333.32795455 4864822.84717273       0.        ],[  -7345.08516991 4864830.81747028       0.        ]
ValidationData_1.csv,10,[0 0 0],[-7.34418266e+03  4.86475425e+06  2.00000000e+00]
ValidationData_1.csv,11,[-7.35670546e+03  4.86480928e+06  5.45454545e-01],[  -7372.66404148 4864844.41964526       0.        ]
ValidationData_1.csv,12,[-7.36630579e+03  4.86483318e+06  9.09090909e-02],[  -7377.06790472 4864849.18512059       0.        ]
ValidationData_1.csv,13,[-7.36697531e+03  4.86476962e+06  1.09090909e+00],[-7.33110010e+03  4.86476692e+06  2.00000000e+00]
ValidationData_1.csv,14,[  -7364.93257967 4864840.557994         0.        ],[  -7385.87153572 4864839.97669286       0.        ]
ValidationData_1.csv,15,[-7.35854050e+03  4.86483683e+06  1.00000000e+00],[-7.39343515e+03  4.86483673e+06  1.00000000e+00]
ValidationData_1.csv,16,[0 0 0],[-7.55967807e+03  4.86488749e+06  3.00000000e+00]
ValidationData_1.csv,17,[-7.41174129e+03  4.86478974e+06  4.00000000e+00],[-7.41445028e+03  4.86478846e+06  4.00000000e+00]
ValidationData_1.csv,18,[-7.35619868e+03  4.86482851e+06  3.63636364e-01],[-7.40240428e+03  4.86480640e+06  1.00000000e+00]
ValidationData_1.csv,19,[-7.35639210e+03  4.86482275e+06  1.00000000e+00],[-7.35837958e+03  4.86483688e+06  1.00000000e+00]
ValidationData_1.csv,20,[-7.56611865e+03  4.86487410e+06  1.90909091e+00],[-7.55885901e+03  4.86487112e+06  3.00000000e+00]
ValidationData_1.csv,21,[  -7631.44848182 4865003.99530909       0.        ],[-7.58694482e+03  4.86498586e+06  1.00000000e+00]
ValidationData_1.csv,22,[-7.41004949e+03  4.86479332e+06  3.63636364e+00],[-7.41058471e+03  4.86479328e+06  4.00000000e+00]
ValidationData_1.csv,23,[-7.41291971e+03  4.86478736e+06  4.00000000e+00],[-7.39422637e+03  4.86482106e+06  4.00000000e+00]
ValidationData_1.csv,24,[-7.55889102e+03  4.86487587e+06  1.18181818e+00],[-7.56898589e+03  4.86487603e+06  1.00000000e+00]
ValidationData_1.csv,25,[-7.56065836e+03  4.86486970e+06  9.09090909e-01],[-7.56271710e+03  4.86486596e+06  1.00000000e+00]
ValidationData_1.csv,26,[-7.36640274e+03  4.86484135e+06  1.00000000e+00],[-7.38547849e+03  4.86483769e+06  1.00000000e+00]
ValidationData_1.csv,27,[-7.38032110e+03  4.86484309e+06  1.00000000e+00],[-7.39703391e+03  4.86482882e+06  1.00000000e+00]
ValidationData_1.csv,28,[-7.67301270e+03  4.86493432e+06  2.54545455e+00],[-7.67478528e+03  4.86493418e+06  2.00000000e+00]
ValidationData_1.csv,29,[-7.64813788e+03  4.86492872e+06  1.90909091e+00],[-7.65647556e+03  4.86493830e+06  2.00000000e+00]
ValidationData_1.csv,30,[-7.64044692e+03  4.86500623e+06  1.54545455e+00],[-7.64276499e+03  4.86500503e+06  1.00000000e+00]
ValidationData_1.csv,31,[-7.53872543e+03  4.86492372e+06  2.00000000e+00],[-7.53996082e+03  4.86491993e+06  2.00000000e+00]
ValidationData_1.csv,32,[-7.52789945e+03  4.86493415e+06  2.00000000e+00],[-7.52531410e+03  4.86493295e+06  2.00000000e+00]
ValidationData_1.csv,33,[-7.53185132e+03  4.86493942e+06  2.00000000e+00],[-7.53308633e+03  4.86493763e+06  2.00000000e+00]
ValidationData_1.csv,34,[-7.52534732e+03  4.86494279e+06  2.00000000e+00],[-7.52160877e+03  4.86495060e+06  2.00000000e+00]
ValidationData_1.csv,35,[-7.43475075e+03  4.86487826e+06  2.00000000e+00],[-7.42481234e+03  4.86486299e+06  2.00000000e+00]
ValidationData_1.csv,36,[-7.45862095e+03  4.86484425e+06  2.36363636e+00],[-7.45736065e+03  4.86483144e+06  3.00000000e+00]
