FILE,ROW,ESTIMATED POSITION,REAL POSITION
ValidationData_1.csv,0,[-7.51788493e+03  4.86489054e+06  2.00000000e+00],[-7.51591680e+03  4.86488966e+06  1.00000000e+00]
ValidationData_1.csv,1,[0 0 0],[-7.38386722e+03  4.86483974e+06  4.00000000e+00]
ValidationData_1.csv,2,[-7.36776790e+03  4.86484651e+06  4.00000000e+00],[-7.37430208e+03  4.86484653e+06  4.00000000e+00]
ValidationData_1.csv,3,[0 0 0],[-7.36582488e+03  4.86484283e+06  4.00000000e+00]
ValidationData_1.csv,4,[0 0 0],[-7.6414993e+03  4.8649224e+06  2.0000000e+00]
ValidationData_1.csv,5,[0 0 0],[-7.33880721e+03  4.86482547e+06  2.00000000e+00]
ValidationData_1.csv,6,[0 0 0],[-7.37935168e+03  4.86484920e+06  3.00000000e+00]
ValidationData_1.csv,7,[0 0 0],[-7.34055878e+03  4.86475892e+06  3.00000000e+00]
ValidationData_1.csv,8,[0 0 0],[-7.35753125e+03  4.86476585e+06  2.00000000e+00]
ValidationData_1.csv,9,[  -7331.92336667 4864822.06796667       0.        ],[  -7345.08516991 4864830.81747028       0.        ]
ValidationData_1.csv,10,[0 0 0],[-7.34418266e+03  4.86475425e+06  2.00000000e+00]
ValidationData_1.csv,11,[0 0 0],[  -7372.66404148 4864844.41964526       0.        ]
ValidationData_1.csv,12,[0 0 0],[  -7377.06790472 4864849.18512059       0.        ]
ValidationData_1.csv,13,[0 0 0],[-7.33110010e+03  4.86476692e+06  2.00000000e+00]
ValidationData_1.csv,14,[  -7388.90311715 4864838.18069387       0.        ],[  -7385.87153572 4864839.97669286       0.        ]
ValidationData_1.csv,15,[0 0 0],[-7.39343515e+03  4.86483673e+06  1.00000000e+00]
ValidationData_1.csv,16,[0 0 0],[-7.55967807e+03  4.86488749e+06  3.00000000e+00]
ValidationData_1.csv,17,[0 0 0],[-7.41445028e+03  4.86478846e+06  4.00000000e+00]
ValidationData_1.csv,18,[  -7360.1255     4864837.71423333       0.        ],[-7.40240428e+03  4.86480640e+06  1.00000000e+00]
ValidationData_1.csv,19,[-7.35479057e+03  4.86483475e+06  1.00000000e+00],[-7.35837958e+03  4.86483688e+06  1.00000000e+00]
ValidationData_1.csv,20,[0 0 0],[-7.55885901e+03  4.86487112e+06  3.00000000e+00]
ValidationData_1.csv,21,[  -7606.3264     4864993.88376667       0.        ],[-7.58694482e+03  4.86498586e+06  1.00000000e+00]
ValidationData_1.csv,22,[0 0 0],[-7.41058471e+03  4.86479328e+06  4.00000000e+00]
ValidationData_1.csv,23,[0 0 0],[-7.39422637e+03  4.86482106e+06  4.00000000e+00]
ValidationData_1.csv,24,[0 0 0],[-7.56898589e+03  4.86487603e+06  1.00000000e+00]
ValidationData_1.csv,25,[0 0 0],[-7.56271710e+03  4.86486596e+06  1.00000000e+00]
ValidationData_1.csv,26,[0 0 0],[-7.38547849e+03  4.86483769e+06  1.00000000e+00]
ValidationData_1.csv,27,[0 0 0],[-7.39703391e+03  4.86482882e+06  1.00000000e+00]
ValidationData_1.csv,28,[0 0 0],[-7.67478528e+03  4.86493418e+06  2.00000000e+00]
ValidationData_1.csv,29,[0 0 0],[-7.65647556e+03  4.86493830e+06  2.00000000e+00]
ValidationData_1.csv,30,[0 0 0],[-7.64276499e+03  4.86500503e+06  1.00000000e+00]
