FILE,ATTACK_SUCCESSFUL,ATTACK_FAILED,POSITIONING_FAILED_DUE_TO_ATTACK,POSITIONING_NO_FAILED_DUE_TO_ATTACK,POSITIONING_MEAN_ERROR_DUE_TO_ATTACK
ValidationData_1.csv,263,848,108,2,7.417119622632453
ValidationData_2.csv,394,717,180,0,7.77915842413805
ValidationData_3.csv,474,637,226,2,8.715419454397134
ValidationData_4.csv,520,591,244,2,10.000632749576052
ValidationData_5.csv,547,564,287,1,12.094815452053437
ValidationData_6.csv,561,550,278,2,12.326185662321109
ValidationData_7.csv,608,503,301,0,11.86286783134541
ValidationData_8.csv,611,500,323,1,12.858210304171754
ValidationData_9.csv,625,486,346,0,13.032252855675013
ValidationData_10.csv,645,466,363,2,13.643640200591724
